Date : 2023-11-27 20:18:14
Directory : c:\Users\rahul\OneDrive\Documents\Projects\GenRep
Total : 87 files,  8351 codes, 46 comments, 1129 blanks, all 9526 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\components\Toast.svelte                                              | Svelte             |         15 |          0 |          2 |         17 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\+page.svelte                                                   | Svelte             |          1 |          0 |          1 |          2 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\google\+server.ts                                              | TypeScript         |         18 |          1 |          2 |         21 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\login\google\callback\+server.ts                                     | TypeScript         |         36 |          3 |          8 |         47 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\logout\+page.server.ts                                               | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\+page.server.ts                                         | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\+page.svelte                                            | Svelte             |         74 |          1 |          8 |         83 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\ButtonComponent.svelte                | Svelte             |         35 |          0 |          7 |         42 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\CardComponent.svelte                  | Svelte             |         34 |          0 |          7 |         41 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\InputComponent.svelte                 | Svelte             |        168 |          0 |         10 |        178 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\ReportCanvas.svelte                   | Svelte             |         37 |          0 |          5 |         42 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\TableComponent.svelte                 | Svelte             |         77 |          0 |          7 |         84 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Datasets\Datasets.svelte                     | Svelte             |         87 |          0 |          4 |         91 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Datasets\UpsertDatasetModal.svelte           | Svelte             |         95 |          0 |         14 |        109 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\ReportForm.svelte                            | Svelte             |         56 |          0 |          6 |         62 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\SelectTheme.svelte                           | Svelte             |         47 |          2 |          3 |         52 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\Components.svelte            | Svelte             |         97 |          0 |          5 |        102 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\PropertiesForm.svelte        | Svelte             |        125 |          0 |          9 |        134 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertButtonComponent.svelte | Svelte             |         86 |          0 |         12 |         98 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertCardComponent.svelte   | Svelte             |        109 |          0 |         13 |        122 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertComponentList.svelte   | Svelte             |         34 |          0 |          4 |         38 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertInputComponent.svelte  | Svelte             |        162 |          0 |         16 |        178 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertTableComponent.svelte  | Svelte             |        127 |          0 |         14 |        141 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\ViewDataset.svelte                           | Svelte             |         44 |          0 |          3 |         47 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\+page.server.ts                                             | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\+page.svelte                                                | Svelte             |         23 |          0 |          3 |         26 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\ApiKeys.svelte                                   | Svelte             |         99 |          0 |          7 |        106 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\Databases.svelte                                 | Svelte             |        123 |          0 |         10 |        133 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\Themes.svelte                                    | Svelte             |         42 |          2 |          5 |         49 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\UpsertApiKeyModal.svelte                         | Svelte             |         69 |          0 |          8 |         77 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\UpsertDatabaseModal.svelte                       | Svelte             |        185 |          9 |         15 |        209 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\view-report\+page.server.ts                                          | TypeScript         |         11 |          0 |          6 |         17 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\view-report\+page.svelte                                             | Svelte             |         13 |          0 |          3 |         16 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\stores\report-maker.store.ts                                                | TypeScript         |        195 |          3 |         28 |        226 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\stores\ui.store.ts                                                          | TypeScript         |         56 |          1 |         11 |         68 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\client.ts                                                              | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\apiKey.router.ts                                               | TypeScript         |         30 |          0 |          5 |         35 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\app.router.ts                                                  | TypeScript         |         20 |          0 |          5 |         25 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\database.router.ts                                             | TypeScript         |        121 |          0 |         10 |        131 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\report.router.ts                                               | TypeScript         |        114 |          2 |         13 |        129 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\routers\theme.router.ts                                                | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\trpc.ts                                                                | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\trpc\trpcErrorhandler.ts                                                    | TypeScript         |         89 |          0 |         17 |        106 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\svelte.config.js                                                                | JavaScript         |          9 |          1 |          4 |         14 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\tailwind.config.js                                                              | JavaScript         |         41 |          1 |          1 |         43 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\tsconfig.json                                                                   | JSON with Comments |         13 |          0 |          1 |         14 |
| c:\Users\rahul\OneDrive\Documents\Projects\GenRep\vite.config.ts                                                                  | TypeScript         |          6 |          0 |          2 |          8 |
| Total                                                                                                                             |                    |      8,351 |         46 |      1,129 |      9,526 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
