"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "Ignore", "Svelte", "YAML", "CSS", "HTML", "Prisma", "comment", "blank", "total"
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\+page.server.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 1, 8, 83
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\ButtonComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\CardComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\InputComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 10, 178
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\ReportCanvas.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Canvas\TableComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 7, 84
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Datasets\Datasets.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 4, 91
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\Datasets\UpsertDatasetModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 14, 109
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\ReportForm.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 6, 62
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\SelectTheme.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 3, 52
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\Components.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 5, 102
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\PropertiesForm.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 9, 134
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertButtonComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 12, 98
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertCardComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 13, 122
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertComponentList.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertInputComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 16, 178
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\UpsertComponent\UpsertTableComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 14, 141
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\report-maker\components\ViewDataset.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\+page.server.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\ApiKeys.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 7, 106
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\Databases.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 10, 133
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\Themes.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 5, 49
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\UpsertApiKeyModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 8, 77
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\settings\components\UpsertDatabaseModal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 9, 15, 209
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\view-report\+page.server.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\rahul\OneDrive\Documents\Projects\GenRep\src\routes\view-report\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
